school_id,school_id_t,school_name,school_address,school_x,school_y,grid_point_id,grid_left,grid_top,grid_col,grid_row,distance_m
756,22712000001_756,"Муниципальное автономное общеобразовательное учреждение ""Большепикинская основная школа""","606452, Нижегородская обл., Большое Пикино п., Бор г., Больничная ул., 26",44.18659300,56.34560400,1220971,4918536.73,7626467.63,670,900,477.668
757,22712000001_757,"Муниципальное автономное общеобразовательное учреждение ""Октябрьская средняя школа""","606480, Нижегородская обл., Октябрьский п., Бор г., Победы ул., 15А",44.18694300,56.29996000,1215527,4917336.73,7618867.63,667,919,834.910
758,22712000001_758,Муниципальное автономное общеобразовательное учреждение основная школа № 20 г.Бор,"606460, Нижегородская обл., Неклюдово п., Бор г., Новая ул., 6А",43.98573800,56.40016500,1117145,4895736.73,7638067.63,613,871,320.033
759,22712000001_759,Муниципальное автономное образовательное учреждение средняя школа № 12,"606460, Нижегородская обл., Неклюдово п., Бор г., Новая ул., 6А",43.98573800,56.40016500,1117145,4895736.73,7638067.63,613,871,320.033
760,22540000001_760,Муниципальное бюджетное общеобразовательное учреждение основная школа  г. Лысково,"606210, обл.Нижегородская, м.о..Лысковский, г.Лысково, ул.Революции, 5",45.04218400,56.04380900,1658158,5014536.73,7567667.63,910,1047,548.761
761,22540000001_761,Муниципальное бюджетное общеобразовательное учреждение средняя школа № 2 г. Лысково,"606210, Нижегородская обл., Лысковский р-н., Лысково г., Нестерова ул., 2а",45.03276100,56.02117100,1652712,5013336.73,7560867.63,907,1064,918.784
762,22540000001_762,Муниципальное бюджетное общеобразовательное учреждение средняя школа № 3 г. Лысково,"606210, Нижегородская обл., Лысковский р-н., Лысково г., Чехова ул., 21",45.03762100,56.03099500,1643594,5011336.73,7566067.63,902,1051,1469.507
763,22540000001_763,Муниципальное автономное общеобразовательное учреждение средняя школа № 5 г.Лысково,"606210, Нижегородская обл., Лысковский р-н., Лысково г., Семенычева ул., 3",45.05104200,56.02077800,1659995,5014936.73,7561267.63,911,1063,607.560
764,22719000051_764,"Муниципальное бюджетное общеобразовательное учреждение ""Воротынская средняя школа""","606260, Нижегородская обл., Воротынский р-н., Воротынец рп., Космонавтов ул., 8",45.85780900,56.05476400,2062418,5103336.73,7568467.63,1132,1045,828.241
765,22505000055_765,"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 10 имени Героя Советского Союза Александр�","606426, Нижегородская обл., Балахнинский р-н., Гидроторф рп., Центральная ул., 2А",43.54226700,56.47263500,904054,4848936.73,7651667.63,496,837,1307.828
766,22517000051_766,"Государственное казенное общеобразовательное учреждение ""Вачская коррекционная школа-интернат""","606150, Нижегородская обл., Вачский р-н., Вача рп., Ленина ул., 19",42.76992300,55.80200200,498305,4759736.73,7518067.63,273,1171,815.174
767,22517000051_767,Муниципальное бюджетное общеобразовательное учреждение Вачская средняя общеобразовательная школа,"606150, Нижегородская обл., Вачский р-н., Вача рп., Советский пер., 3",42.76746100,55.80126300,498305,4759736.73,7518067.63,273,1171,642.338
768,22553000061_768,"Муниципальное общеобразовательное учреждение ""Шайгинская основная общеобразовательная школа""","606940, Нижегородская обл., Тоншаевский р-н., Шайгино рп., Вокзальная ул., 55Г",46.86676100,57.76748100,2582351,5217736.73,7917667.63,1418,172,570.946
769,22520000056_769,Муниципальное бюджетное общеобразовательное учреждение средняя школа № 2,"606093, Нижегородская обл., Володарский р-н., Решетиха рп., Кирова пр-кт., 3А",43.29161000,56.21775600,771249,4819736.73,7600467.63,423,965,791.534
770,22542000001_770,Муниципальное автономное общеобразовательное учреждение средняя школа № 10 г. Павлово,"606108, Нижегородская обл., Павловский р-н., Павлово г., Суворова ул., 4",43.08887800,55.97535500,658461,4794936.73,7554867.63,361,1079,1206.237
771,22542000001_771,"Муниципальное автономное общеобразовательное учреждение ""Средняя школа № 11"" г. Павлово","606107, Нижегородская обл., Павловский р-н., Павлово г., Трудовая ул., 73Б",43.09507700,55.99082100,662097,4795736.73,7557267.63,363,1073,916.585
772,22542000001_772,Муниципальное автономное общеобразовательное учреждение средняя школа № 16 г. Павлово,"606104, Нижегородская обл., Павловский р-н., Павлово г., Лермонтова ул., 16а",43.11321400,55.96087600,683963,4800536.73,7551667.63,375,1087,1042.508
773,22542000001_773,Муниципальное автономное общеобразовательное учреждение средняя школа №17 г. Павлово,"обл.Нижегородская, м.о..Павловский, г.Павлово, пер.Правика, 6",43.05162500,55.93662500,642095,4791336.73,7545667.63,352,1102,531.511
774,22542000001_774,Муниципальное автономное общеобразовательное учреждение средняя школа №  1  г. Павлово,"606100, Нижегородская обл., Павловский р-н., Павлово г., Садовая ул., 1",43.05977300,55.96172700,640262,4790936.73,7550467.63,351,1090,1263.164
775,22542000001_775,Муниципальное автономное общеобразовательное учреждение средняя школа № 3 г. Павлово,"606108, Нижегородская обл., Павловский р-н., Павлово г., Чапаева ул., 41",43.08175500,55.96633200,654822,4794136.73,7553667.63,359,1082,1466.762
